id,date,close, diff ,tday,ctry,band,,
CHN,9/16/2008,1986.64, (4.47),315,13,1,,
FRA,10/16/2008,3181, (4.47),337,97,1,,
CHN,8/8/2008,2605.72, (4.47),288,13,1,,
DEU,10/22/2008,4571.07, (4.46),341,99,1,,
DEU,2/17/2009,4216.6, (4.46),424,99,1,,
MEX,12/15/2008,21050.55, (4.46),379,167,1,,
FRA,11/3/2008,3527.97, (4.42),349,97,1,,
CHN,11/22/2007,4984.16, (4.41),103,13,1,,
MEX,11/12/2007,28185.9, (4.41),95,167,1,,
IND,7/8/2008,13349.65, (4.40),265,26,1,,
MEX,9/18/2008,24577.9, (4.37),317,167,1,,
CAN,11/21/2008,10.57, (4.34),363,153,1,,
AUS,8/17/2007,5670.3, (4.32),34,6,1,,
CAN,9/29/2008,14.62, (4.32),324,153,1,,
IND,4/1/2009,9901.99, (4.32),455,26,1,,
IND,10/8/2007,17491.39, (4.32),70,26,1,,
IND,10/20/2008,10223.09, (4.31),339,26,1,,
ITA,10/16/2008,20714, (4.30),337,101,1,,
MEX,11/3/2008,20612.68, (4.28),349,167,1,,
USA,4/20/2009,832.39, (4.28),468,161,1,,
MEX,3/10/2008,28207.29, (4.27),179,167,1,,
CAN,11/3/2008,12.57, (4.27),349,153,1,,
CAN,11/20/2008,10.12, (4.26),362,153,1,,
BRA,1/21/2008,53709, (4.26),144,138,1,,
USA,3/5/2009,682.55, (4.25),436,161,1,,
JPN,10/6/2008,10473.09, (4.25),329,9,1,,
CHN,10/16/2008,1909.94, (4.25),337,13,1,,
CAN,1/21/2008,14.89, (4.24),144,153,1,,
DEU,9/29/2008,5807.08, (4.23),324,99,1,,
BRA,10/28/2008,33387, (4.18),345,138,1,,
BRA,12/15/2008,38320, (4.18),379,138,1,,
DEU,3/17/2008,6182.3, (4.18),184,99,1,,
USA,11/14/2008,873.29, (4.17),358,161,1,,
CAN,10/29/2008,12.24, (4.15),346,153,1,,
AUS,9/19/2008,4840.7, (4.15),318,6,1,,
CAN,3/9/2009,9.97, (4.13),438,153,1,,
CHN,5/7/2008,3579.15, (4.13),221,13,1,,
CHN,4/1/2008,3329.16, (4.13),195,13,1,,
JPN,9/30/2008,11259.86, (4.12),325,9,1,,
AUS,1/22/2008,5222, (4.11),145,6,1,,
MEX,3/3/2009,17093.25, (4.10),434,167,1,,
BRA,9/17/2007,54341, (4.10),55,138,1,,
IND,7/16/2008,12575.8, (4.09),271,26,1,,
DEU,4/20/2009,4486.3, (4.07),468,99,1,,
CHN,2/25/2008,4192.53, (4.07),169,13,1,,
USA,10/2/2008,1114.28, (4.03),327,161,1,,
JPN,1/4/2008,14691.41, (4.03),133,9,1,,
BRA,4/1/2009,41976, (4.02),455,138,1,,
IND,9/18/2007,15669.12, (4.00),56,26,1,,
DEU,12/5/2008,4381.47, (4.00),373,99,1,,
CHN,4/18/2008,3094.67, (3.97),208,13,1,,
JPN,1/28/2008,13087.91, (3.97),149,9,1,,
CAN,11/27/2008,11.39, (3.96),367,153,1,,
CHN,3/18/2008,3668.9, (3.96),185,13,1,,
FRA,1/27/2009,2954.53, (3.95),409,97,1,,
AUS,11/27/2008,3528.2, (3.93),367,6,1,,
MEX,11/27/2007,28124.65, (3.93),106,167,1,,
AUS,10/13/2008,4141.9, (3.93),334,6,1,,
FRA,12/31/2008,3217.97, (3.93),391,97,1,,
JPN,1/8/2009,8876.42, (3.93),396,9,1,,
IND,5/11/2009,11682.99, (3.91),483,26,1,,
AUS,9/18/2008,4651.9, (3.90),317,6,1,,
CHN,2/26/2009,2121.25, (3.87),431,13,1,,
